Type Water Body,State Name,Min Temperature,Min Dissolved Oxygen,Min pH,Min Conductivity,Min BOD,Min Nitrate N + Nitrite N,Min Fecal Coliform,Min Total Coliform
LAKE,"ANDHRA 
PRADESH",21,3.8,7.0,18830,2.2,0.74,3,75
LAKE,"ANDHRA 
PRADESH",25,3.6,7.1,580,2.4,1.03,15,150
LAKE,"ANDHRA 
PRADESH",23,0.5,6.8,675,1.7,1.3,11,150
TANK,"ANDHRA 
PRADESH",26,5.3,6.4,206,0.8,0.11,47,210
LAKE,ASSAM,18,7.2,7.3,188,2.1,1,300,720
LAKE,ASSAM,20,4.2,6.8,25,1.1,0.6,300,720
LAKE,ASSAM,22,4.1,7.0,43,1.1,0.4,2,300
LAKE,ASSAM,18,4.5,7.1,189,2.8,1.2,300,360
LAKE,ASSAM,24,0.3,7.3,177,1.1,0.7,2,2
LAKE,ASSAM,20,5,7.1,68,1.8,0.5,300,700
LAKE,ASSAM,20,5,7.0,189,1.3,0.7,300,700
LAKE,ASSAM,17,4.1,7.0,89,1.3,0.7,300,360
LAKE,ASSAM,20,4,6.2,126,2.1,0.7,300,360
LAKE,ASSAM,21,4.1,6.8,106,1.3,0.6,300,720
LAKE,ASSAM,21,4,6.4,96,1.6,0.7,300,720
LAKE,ASSAM,18,1.4,7.0,1139,22.5,1.6,360,1400
LAKE,ASSAM,20,0.3,6.9,480,13,1.1,1100,2700
LAKE,ASSAM,20,0.3,6.8,471,25,1,1400,3900
LAKE,ASSAM,20,0.3,6.8,436,25.5,1.2,2000,2800
LAKE,ASSAM,21,4.1,7.1,43,1.2,0.6,300,360
LAKE,ASSAM,17,4.5,6.7,31,1.3,0.2,2,2
POND,ASSAM,18,1,7.0,847,2.3,1.2,300,720
POND,ASSAM,20,4.2,6.9,153,1,0.6,300,720
POND,ASSAM,19,5.2,7.1,28,1.4,0.6,2,2
POND,ASSAM,20,6,7.0,22,1,0.1,2,300
POND,ASSAM,19,6.3,6.8,80,1.9,0.4,2,300
POND,ASSAM,21,6.8,7.0,273,1.2,0.7,300,720
POND,ASSAM,19,6.6,7.0,83,1.9,0.8,2,730
POND,ASSAM,21,7,7.2,168,1.3,0.4,300,720
POND,ASSAM,20,4.2,7.0,41,1.6,0.7,300,720
POND,ASSAM,20,4.3,7.0,57,1.6,0.7,2,300
POND,ASSAM,20,5.1,7.2,176,2.2,0.8,300,730
POND,ASSAM,18,5.2,7.0,229,2.2,1,730,1400
POND,ASSAM,20,4.8,6.8,216,2,1,300,720
POND,ASSAM,20,5.5,6.8,30,1.4,0.6,2,360
POND,ASSAM,19,6.4,7.2,47,1.7,0.6,300,1100
POND,ASSAM,22,4,7.3,27,1.3,0.6,300,720
POND,ASSAM,22,4.1,7.2,49,1.3,0.4,2,360
POND,ASSAM,22,4.3,7.0,73,1.4,0.6,2,730
POND,ASSAM,20,4.1,7.2,96,2,0.7,300,300
POND,ASSAM,19,5.5,6.8,21,1.5,0.2,2,300
POND,ASSAM,19,4.8,6.7,22,1.8,0.4,2,2
POND,ASSAM,20,6.7,7.0,36,1.3,0.5,300,360
POND,ASSAM,18,5.3,6.9,69,1.6,0.6,2,2
POND,ASSAM,22,4.1,6.3,158,2,0.6,300,300
POND,ASSAM,20,4.2,7.0,387,2.2,0.8,360,910
POND,ASSAM,20,5.6,6.8,21,1.9,0.3,2,300
POND,ASSAM,19,4.2,7.2,49,1.4,0.4,2,300
TANK,ASSAM,20,6.6,6.7,21,1.3,0.7,2,300
LAKE,BIHAR,16,3.5,7.3,205,1.4,0.11,780,2700
LAKE,BIHAR,17,4.5,7.3,627,1.8,0.09,1100,3300
LAKE,BIHAR,19,1,7.2,397,1.9,0.11,2100,4600
POND,BIHAR,14,2.9,7.1,470,1.2,0.18,17000,22000
