Type Water Body,State Name,Min Temperature,Min Dissolved Oxygen,Min pH,Min Conductivity,Min BOD,Min_Nitrate_Nitrite,Min Fecal Coliform,Min Total Coliform,Year,Toilet_Access,Open_Defecation,Rainfall
LAKE,ANDHRA PRADESH,27,5.1,7.1,3270,1,0.65,2,800,2017,49.6,50.4,80.77838740840768
LAKE,ANDHRA PRADESH,24,5.9,6.9,597,1.3,1.16,11,350,2017,49.6,50.4,80.77838740840768
LAKE,ASSAM,20,2.2,5.7,50,1,0.1,300,360,2017,65.0,35.1,201.04888299368935
LAKE,ASSAM,22,5.1,6.6,54,0.9,0.1,300,300,2017,65.0,35.1,201.04888299368935
POND,ASSAM,22,0.7,6.8,263,4.5,0.8,1100,730,2017,65.0,35.1,201.04888299368935
POND,ASSAM,20,3.5,6.1,26,2.2,0.5,300,360,2017,65.0,35.1,201.04888299368935
POND,ASSAM,18,5,5.8,25,2,0.1,360,300,2017,65.0,35.1,201.04888299368935
POND,ASSAM,20,5.2,5.6,23,1.9,0.1,360,360,2017,65.0,35.1,201.04888299368935
POND,ASSAM,21,5.1,6.7,45,1.1,0.1,300,300,2017,65.0,35.1,201.04888299368935
POND,ASSAM,22,7.2,7.1,195,3.8,0.9,300,300,2017,65.0,35.1,201.04888299368935
POND,ASSAM,20,7.4,6.8,64,2.8,0.2,360,360,2017,65.0,35.1,201.04888299368935
POND,ASSAM,20,7,7.2,26,4.5,0.7,300,360,2017,65.0,35.1,201.04888299368935
POND,ASSAM,23,2.6,6.1,26,3.3,0.2,300,910,2017,65.0,35.1,201.04888299368935
POND,ASSAM,23,1.2,5.9,8,1.2,0.5,300,910,2017,65.0,35.1,201.04888299368935
POND,ASSAM,23,6.4,7.7,153,3,0.8,300,360,2017,65.0,35.1,201.04888299368935
POND,ASSAM,19,3.7,6.7,282,2.8,1.6,700,360,2017,65.0,35.1,201.04888299368935
POND,ASSAM,21,4.5,6.2,122,2.4,0.7,300,730,2017,65.0,35.1,201.04888299368935
POND,ASSAM,22,1.9,6.6,190,4.2,0.7,300,910,2017,65.0,35.1,201.04888299368935
POND,ASSAM,22,5.2,5.5,26,1.6,0.7,300,360,2017,65.0,35.1,201.04888299368935
POND,ASSAM,23,3.9,6.7,50,2.2,0.3,300,300,2017,65.0,35.1,201.04888299368935
POND,ASSAM,23,4.5,6.1,24,1,0.1,300,360,2017,65.0,35.1,201.04888299368935
POND,ASSAM,22,4.7,6.4,27,1.4,1,300,360,2017,65.0,35.1,201.04888299368935
POND,ASSAM,23,4.6,6.7,31,1.1,0.8,300,360,2017,65.0,35.1,201.04888299368935
